Track URI,Track Name,Artist Name(s),Album URI,Explicit,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:61uAY9xdzYiIbYJ07XvKso,Big Bad John,Jimmy Dean,spotify:album:2vCenQXDX4DqtRShqJzCci,False,58,0.516,0.457,8.0,-12.609,1.0,0.184,0.596,0.0,0.106,0.455,173.934,4.0
spotify:track:72OrfuJ9RxfLCoqAMeKHCZ,Candy Girl,New Edition,spotify:album:62OvMX7ymbmxO6TKiXDE4v,False,54,0.839,0.623,1.0,-13.712,1.0,0.108,0.346,0.0138,0.314,0.668,103.799,4.0
spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,Spice Girls,spotify:album:3x2jF7blR6bFHtk4MccsyJ,False,84,0.768,0.864,11.0,-6.145,1.0,0.0324,0.101,0.0,0.162,0.891,110.008,4.0
spotify:track:4V9JDRqKjN8F2HWdlEDxvI,Harder To Breathe,Maroon 5,spotify:album:5zClcGCSWj926AMjvBNSLc,True,67,0.662,0.908,1.0,-4.764,0.0,0.0449,0.0506,0.0,0.0508,0.967,149.941,4.0
spotify:track:0g5EKLgdKvNlln7TNqBByK,Middle,"DJ Snake, Bipolar Sunshine",spotify:album:02sEJTj1sye1JaqxqpcSCp,False,79,0.583,0.695,9.0,-5.336,1.0,0.0423,0.0141,0.0,0.0527,0.224,104.879,4.0
spotify:track:69sz3g03qkaDPLrJPGAMFr,Wig Wam Bam,Sweet,spotify:album:0ZSMNKAIzJR9fcQs09rWKO,False,35,0.714,0.781,4.0,-9.572,1.0,0.103,0.155,1.58e-05,0.0849,0.581,126.575,4.0
spotify:track:15MJ5NThPjj6xhPcts8MiY,"Take My Breath Away - Love Theme from ""Top Gun""",Berlin,spotify:album:6K8iDZW8jPaoiqSzFFebJA,False,77,0.497,0.719,6.0,-9.397,1.0,0.0266,0.0613,0.0,0.411,0.547,95.769,4.0
spotify:track:3ZP4dDCVQ1wk2asZk789kX,All You Need,Alex Lloyd,spotify:album:5On5KkGWU5cpkAoGQchjm6,False,12,0.588,0.753,2.0,-5.394,1.0,0.0247,0.0326,0.0,0.109,0.391,99.984,4.0
spotify:track:3JAd2QfH0rdNycmHOVcKpT,Too Many Times,Mental As Anything,spotify:album:5iTdMXmcuJl7bqVIsIJ76D,False,35,0.654,0.862,6.0,-3.936,0.0,0.127,0.298,1.04e-06,0.162,0.838,159.434,4.0
spotify:track:50qbYQXLOw8KO18BNLP7VC,Living Without You,"Sigala, David Guetta, Sam Ryder",spotify:album:6OU7EFtbj258KWnSd0SJFo,False,60,0.57,0.89,11.0,-2.049,0.0,0.0625,0.0407,0.0,0.677,0.563,125.003,4.0
spotify:track:3PfERRzizJqTx0fuRmBgtH,You're so Vain,Chocolate Starfish,spotify:album:4djRLJLSGUAkT6MMiorGLX,False,40,0.674,0.844,0.0,-7.473,1.0,0.0727,0.116,0.00524,0.0805,0.595,107.888,4.0
spotify:track:6J17MkMmuzBiIOjRH6MOBZ,Rock and Roll Ain't Noise Pollution,AC/DC,spotify:album:6mUdeDZCsExyJLMdAfDuwh,False,67,0.576,0.659,9.0,-5.617,1.0,0.0383,0.041,0.0,0.0587,0.717,94.853,4.0
spotify:track:6pxWv6GV35VGmcPf5dh6CH,Proud Mary,Creedence Clearwater Revival,spotify:album:5pCRW9AT4BgoMOS52pRoJq,False,79,0.699,0.641,2.0,-7.564,1.0,0.0289,0.13,0.000218,0.0601,0.728,120.745,4.0
spotify:track:23DZLSxCK6kM8FF2RlzKDl,You're No Good,Linda Ronstadt,spotify:album:7upKDUGJUjsvfIe6vuVB0b,False,65,0.669,0.52,8.0,-10.136,1.0,0.0345,0.245,0.00535,0.126,0.634,104.812,4.0
spotify:track:4VlUF9CigmUOU2gyXDCmP8,It's Only Make Believe - Re-recorded,Conway Twitty,spotify:album:40IMW6THJLdzfyxx5ngRc7,False,37,0.562,0.381,10.0,-11.303,1.0,0.032,0.777,5.25e-05,0.12,0.479,115.2,3.0
spotify:track:2g2a5kDeZexbUTD8abcvm6,Lifestyles of the Rich & Famous,Good Charlotte,spotify:album:5CTygC3aONv7l0klY4k3hc,False,73,0.62,0.93,1.0,-3.685,1.0,0.0374,0.00043,0.0,0.0686,0.609,106.22,4.0
spotify:track:3CFRrpmTnGYi0JC7QDIxFP,Don't Lose My Number - 2016 Remaster,Phil Collins,spotify:album:7avlHipAwnKsxcXwC9Wpin,False,44,0.581,0.833,5.0,-5.03,0.0,0.0799,0.172,7.48e-05,0.0581,0.952,80.575,4.0
spotify:track:6Uj8ru7TNLDIelbuQ8eBd6,"Turn Around (5,4,3,2,1)",Flo Rida,spotify:album:1TwNATuAqnNjTd5BSvFZlS,False,65,0.697,0.835,6.0,-5.843,1.0,0.0912,0.00578,0.0,0.314,0.832,128.018,4.0
spotify:track:695RxpwiDj0crqVH55tKkr,Nasty Girl,Destiny's Child,spotify:album:480AZOo2VQ1kf3GedAiKV9,False,42,0.753,0.881,1.0,-3.782,1.0,0.259,0.0126,0.00137,0.114,0.684,129.923,4.0
spotify:track:6W2VbtvMrDXm5vYeB7amkO,Footloose,Kenny Loggins,spotify:album:3uN87hwClF0hult2cxMbAW,False,76,0.546,0.895,9.0,-7.189,1.0,0.0579,0.0819,1.42e-05,0.0768,0.494,174.089,4.0
spotify:track:29o94oYvBeiqAxo5yq3n6H,My Home Town,Paul Anka,spotify:album:51ex1k5MqBIbC77AVl77JU,False,13,0.698,0.512,9.0,-10.782,1.0,0.0303,0.721,0.0,0.056,0.97,117.453,4.0
spotify:track:5i66xrvSh1MjjyDd6zcwgj,Umbrella,"Rihanna, JAY-Z",spotify:album:1YhbfKnjrFgnYyWz6cn9mN,False,69,0.581,0.827,1.0,-4.566,1.0,0.141,0.0101,0.0,0.0522,0.549,174.013,4.0
spotify:track:0MthqhXLlmozTP7MkRviXG,M.O.B.,Tkay Maidza,spotify:album:6hHXm67E7h1Z86G8nEIh89,False,38,0.685,0.848,10.0,-3.437,0.0,0.0444,0.3,0.0,0.164,0.467,137.934,4.0
spotify:track:7DH5dXVuQaqcKf9oTy9oUN,He'll Have to Go,Jim Reeves,spotify:album:158F4r9awKr4bs7X5E49JA,False,52,0.554,0.186,1.0,-15.846,1.0,0.0379,0.909,0.00144,0.11,0.2,81.181,3.0
spotify:track:0WuYuWhLws8VahMy2zLLRJ,Eat It,"""Weird Al"" Yankovic",spotify:album:2WMY5Qm6ztMQsAubpumeb4,False,49,0.767,0.811,7.0,-8.548,1.0,0.0766,0.0866,0.0,0.0684,0.858,147.423,4.0
spotify:track:2JoZzpdeP2G6Csfdq5aLXP,How Deep Is Your Love,Bee Gees,spotify:album:5YHZaCxCuuK81h4Fimb9rT,False,79,0.633,0.357,5.0,-9.366,0.0,0.0264,0.105,0.0,0.133,0.674,104.938,4.0
spotify:track:58q2HKrzhC3ozto2nDdN4z,I Like It,"Cardi B, Bad Bunny, J Balvin",spotify:album:4KdtEKjY3Gi0mKiSdy96ML,True,82,0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.372,0.65,136.048,4.0
spotify:track:47TqCCnEliDp8NRDyIQoQq,You Make Me Wanna...,Usher,spotify:album:0fQdoem8dnrl80YcZzQ8f0,False,72,0.761,0.639,5.0,-7.577,0.0,0.0539,0.0359,0.0,0.0945,0.922,164.088,4.0
spotify:track:6R9NqD0WX9sJYs6PbA5onu,He's so Shy,The Pointer Sisters,spotify:album:5AnJr2Axqy5aIhcvaVKGEB,False,58,0.871,0.736,0.0,-7.896,0.0,0.0675,0.22,0.000725,0.0894,0.967,115.149,4.0
spotify:track:3QOyz2OttQFNrSGKGxJI5s,Always On The Run,Lenny Kravitz,spotify:album:1cW0de5T5fdedlS4YqvyCv,False,42,0.512,0.946,9.0,-3.756,1.0,0.148,0.0119,0.0191,0.0646,0.85,169.222,4.0
spotify:track:5vlzH0ps6WDyb158oFTAb3,Lionheart (Fearless),"Joel Corry, Tom Grennan",spotify:album:68U7caniDmdQHifJdnlYFT,False,78,0.628,0.967,8.0,-2.43,1.0,0.0538,0.0217,0.00157,0.336,0.349,125.982,4.0
spotify:track:4DEcdqqKokU7UAE4wCGQEy,Always Look On The Bright Side Of Life,Monty Python,spotify:album:57awupvncNEIad7j0lkOuT,True,62,0.669,0.535,2.0,-12.36,1.0,0.0972,0.432,0.0,0.208,0.739,120.071,4.0
spotify:track:6sjNqhfajowPKi2wH50yI6,Let's Dance - Radio Edit,Five,spotify:album:5jSAkaiC1BBKZQSZ7wFYOY,False,30,0.629,0.853,4.0,-6.705,0.0,0.0932,0.00854,0.000385,0.413,0.562,117.992,4.0
spotify:track:1yy2DlSDtEt90d54rPDPXz,I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,"Diddy, 112, Faith Evans",spotify:album:33hEDxsIVGf7R6wRdZBQOw,False,74,0.833,0.619,7.0,-5.595,1.0,0.0538,0.111,2.13e-05,0.159,0.901,109.92,4.0
spotify:track:5W52WxNMAOlvAuE64v6d9U,The Honeymoon Is Over,The Cruel Sea,spotify:album:34EpNqm350jVI69Ehxg2w2,False,54,0.464,0.754,1.0,-7.286,1.0,0.104,0.00996,0.0078,0.32,0.588,94.438,4.0
spotify:track:7iPjAWw87asdxXr0OwLkgK,UP!,Samantha Jade,spotify:album:0ikUBPDyhy3iEO1IxSW7NB,False,32,0.644,0.902,1.0,-3.127,1.0,0.162,0.0242,0.0482,0.101,0.552,126.004,4.0
spotify:track:3S2R0EVwBSAVMd5UMgKTL0,Thriller,Michael Jackson,spotify:album:1C2h7mLntPSeVYciMRTF4a,False,73,0.773,0.859,11.0,-4.913,1.0,0.0747,0.0855,0.000187,0.914,0.813,118.459,4.0
spotify:track:1MBM7CyZbwJpVbbZJnHHRg,Summer Love,Justin Timberlake,spotify:album:2scB1uhcCI1TSf6b9TCZK3,False,72,0.606,0.591,0.0,-7.228,0.0,0.087,0.0756,0.0,0.328,0.477,95.802,4.0
spotify:track:6Tgjsd4bD8eb74HOTCr6LC,Accidently Kelly Street,Frente!,spotify:album:1ir0cVK6b0TzZgYfgsY6SE,False,44,0.678,0.608,10.0,-9.839,1.0,0.0339,0.28,0.0,0.0638,0.943,152.745,4.0
spotify:track:3cU2wBxuV6nFiuf6PJZNlC,Dear Future Husband,Meghan Trainor,spotify:album:5W98Ab4VvQEuFEE4TIe5fE,False,78,0.655,0.782,1.0,-4.789,1.0,0.185,0.375,0.0,0.317,0.832,79.427,4.0
spotify:track:6SaeXxdt0Id6ZzmX0ZGTQK,"Fastlove, Pt. 1",George Michael,spotify:album:45evuVVrY9LzPez8geNEIF,False,68,0.735,0.64,10.0,-7.522,0.0,0.072,0.052,0.00102,0.345,0.551,104.444,4.0
spotify:track:0FBeVAGy58YREuZK2rpRVm,Pop Muzik - 12 Inch Version,"M, Robin Scott, Nick Launay",spotify:album:5n9dcCzWXYSZqAFCE64Vl0,False,54,0.94,0.727,1.0,-9.982,1.0,0.0358,0.124,0.00021,0.0808,0.969,110.8,4.0
spotify:track:31vF1iGX0S3Dtv0rQfEksJ,Wings of a Dove,"Ferlin Husky, Hank Locklin",spotify:album:2c86eWBIqma55IMkTPAKZM,False,34,0.5,0.319,4.0,-15.735,1.0,0.039,0.497,0.0,0.101,0.646,177.489,3.0
spotify:track:6VnWRocAuNkoihJVKmhBLU,The Two of Us,"Jackie Trent, Tony Hatch",spotify:album:44YfpDQqwMA35RLro0Ifju,False,19,0.672,0.591,0.0,-7.348,1.0,0.0418,0.692,0.0,0.122,0.666,94.008,4.0
spotify:track:57zF9nlPH4rud6f6zuKSQi,Thursday,Jess Glynne,spotify:album:7GCY1J01hcEpdgeY0vtSsN,False,63,0.603,0.554,2.0,-4.381,1.0,0.0646,0.452,0.0,0.0545,0.354,111.989,4.0
spotify:track:7Ea3bRL50VWPRqiolGTNSv,Just The Thing,"Paul Mac, Peta Morris",spotify:album:55HS4H3fehwCLdzS0ybKic,False,39,0.75,0.695,1.0,-7.651,1.0,0.0368,0.000312,0.0499,0.673,0.647,123.013,4.0
